#       k             kp                  V           
   0.006239       1.847315         -6.420252e-02     
   0.006239       1.922584         -3.544508e-02     
   0.006239       1.996714         -1.431228e-02     
   0.006239       2.069505         2.822643e-04      
   0.006239       2.140761         9.534256e-03      
   0.006239       2.210289         1.464507e-02      
   0.006239       2.277902         1.673343e-02      
   0.006239       2.343418         1.677183e-02      
   0.006239       2.406661         1.555133e-02      
   0.006239       2.467459         1.367305e-02      
   0.006239       2.525649         1.156096e-02      
   0.006239       2.581075         9.488599e-03      
   0.006239       2.633586         7.611873e-03      
   0.006239       2.683041         6.002068e-03      
   0.006239       2.729306         4.674749e-03      
   0.006239       2.772258         3.612666e-03      
   0.006239       2.811780         2.782306e-03      
   0.006239       2.847765         2.144807e-03      
   0.006239       2.880118         1.662426e-03      
   0.006239       2.908749         1.301841e-03      
   0.006239       2.933583         1.035397e-03      
   0.006239       2.954553         8.411575e-04      
   0.006239       2.971601         7.023687e-04      
   0.006239       2.984682         6.067037e-04      
   0.006239       2.993761         5.455207e-04      
   0.006239       2.998815         5.132336e-04      
   0.006239       3.004739         4.769555e-04      
   0.006239       3.024957         3.652234e-04      
   0.006239       3.061273         2.066251e-04      
   0.006239       3.113597         5.546621e-05      
   0.006239       3.181789         -4.404451e-05     
   0.006239       3.265666         -7.760710e-05     
   0.006239       3.365002         -6.307787e-05     
   0.006239       3.479529         -3.276434e-05     
   0.006239       3.608938         -1.025446e-05     
   0.006239       3.752880         -9.165746e-07     
   0.006239       3.910968         7.458805e-07      
   0.006239       4.082775         3.679435e-07      
   0.006239       4.267838         6.884864e-08      
   0.006239       4.465657         7.520604e-10      
   0.006239       4.675701         -1.956168e-09     
   0.006239       4.897402         -2.798275e-10     
   0.006239       5.130163         1.624957e-12      
   0.006239       5.373356         2.837032e-12      
   0.006239       5.626327         1.056028e-13      
   0.006239       5.888392         -9.231479e-15     
   0.006239       6.158845         -3.696511e-16     
   0.006239       6.436958         1.402602e-17      
   0.006239       6.721980         3.153553e-19      
   0.006239       7.013143         -1.014598e-20     
   0.006239       7.309662         -3.594428e-23     
   0.006239       7.610739         2.346195e-24      
   0.006239       7.915560         -1.231948e-26     
   0.006239       8.223305         -8.006181e-29     
   0.006239       8.533144         9.085325e-31      
   0.006239       8.844241         -2.608204e-33     
   0.006239       9.155759         -2.598559e-37     
   0.006239       9.466856         2.069605e-38      
   0.006239       9.776695         -7.674691e-41     
   0.006239       10.084440        1.862660e-43      
   0.006239       10.389261        -3.011507e-46     
   0.006239       10.690338        2.553037e-49      
   0.006239       10.986857        -2.633287e-52     
   0.006239       11.278020        -1.757536e-49     
   0.006239       11.563042        -8.067028e-47     
   0.006239       11.841155        -1.505515e-44     
   0.006239       12.111608        2.522021e-41      
   0.006239       12.373673        4.217421e-38      
   0.006239       12.626644        4.025096e-35      
   0.006239       12.869837        2.790560e-32      
   0.006239       13.102598        1.451238e-29      
   0.006239       13.324299        5.608522e-27      
   0.006239       13.534343        1.575559e-24      
   0.006239       13.732162        3.134790e-22      
   0.006239       13.917225        4.302713e-20      
   0.006239       14.089032        3.976193e-18      
   0.006239       14.247120        2.418804e-16      
   0.006239       14.391062        9.532150e-15      
   0.006239       14.520471        2.397468e-13      
   0.006239       14.634998        3.795495e-12      
   0.006239       14.734334        3.938259e-11      
   0.006239       14.818211        2.482226e-10      
   0.006239       14.886403        9.165189e-10      
   0.006239       14.938727        2.298008e-09      
   0.006239       14.975043        4.783277e-09      
   0.006239       14.995261        8.892753e-09      
   0.015318       0.001185         -1.981531e+00     
